Desert Eagle | Kumicho Dragon (Well-Worn)
Sticker | chrisJ | Cluj-Napoca 2015
★ Flip Knife | Black Laminate (Factory New)
Danger Zone Case
★ StatTrak™ M9 Bayonet | Damascus Steel (Minimal Wear)
★ StatTrak™ Survival Knife | Night Stripe (Minimal Wear)
StatTrak™ P250 | Cartel (Well-Worn)
MP7 | Neon Ply (Field-Tested)
★ Stiletto Knife | Night Stripe (Battle-Scarred)
★ StatTrak™ Survival Knife | Blue Steel (Factory New)
Sealed Graffiti | 200 IQ (Bazooka Pink)
★ StatTrak™ Paracord Knife | Crimson Web (Battle-Scarred)
Souvenir R8 Revolver | Amber Fade (Well-Worn)
Glock-18 | Water Elemental (Minimal Wear)
Sawed-Off | Amber Fade (Minimal Wear)
StatTrak™ Nova | Plume (Minimal Wear)
Five-SeveN | Capillary (Field-Tested)
Galil AR | VariCamo (Minimal Wear)
Five-SeveN | Forest Night (Minimal Wear)
MP5-SD | Co-Processor (Well-Worn)
★ Bowie Knife | Slaughter (Field-Tested)
SSG 08 | Blue Spruce (Well-Worn)
M4A1-S | Boreal Forest (Battle-Scarred)
UMP-45 | Urban DDPAT (Battle-Scarred)
★ Falchion Knife | Urban Masked (Well-Worn)
P2000 | Granite Marbleized (Minimal Wear)
PP-Bizon | Night Ops (Minimal Wear)
★ StatTrak™ Nomad Knife | Night Stripe (Minimal Wear)
★ Ursus Knife | Safari Mesh (Battle-Scarred)
SSG 08 | Blue Spruce (Minimal Wear)
XM1014 | Blue Steel (Minimal Wear)
★ Falchion Knife | Scorched (Well-Worn)
M4A4 | Desert-Strike (Minimal Wear)
Sealed Graffiti | Hop (Monster Purple)
G3SG1 | Chronos (Field-Tested)
StatTrak™ Five-SeveN | Capillary (Factory New)
Souvenir P250 | Nuclear Threat (Battle-Scarred)
AK-47 | Safari Mesh (Well-Worn)
P90 | Trigon (Field-Tested)
UMP-45 | Urban DDPAT (Field-Tested)
StatTrak™ M4A4 | Desolate Space (Minimal Wear)
Sticker | Natus Vincere (Holo) | Cologne 2014
AUG | Contractor (Field-Tested)
M4A4 | Howl (Factory New)
★ StatTrak™ Flip Knife | Autotronic (Minimal Wear)
★ StatTrak™ Butterfly Knife | Fade (Factory New)
★ StatTrak™ M9 Bayonet | Blue Steel (Factory New)
★ Bayonet | Doppler (Minimal Wear)
Dual Berettas | Retribution (Well-Worn)
★ StatTrak™ Bayonet | Scorched (Minimal Wear)
StatTrak™ Tec-9 | Avalanche (Factory New)
SCAR-20 | Blueprint (Factory New)
★ M9 Bayonet | Night (Well-Worn)
★ StatTrak™ Butterfly Knife | Scorched (Factory New)
★ StatTrak™ Bowie Knife | Blue Steel (Well-Worn)
Souvenir Sawed-Off | Rust Coat (Well-Worn)
M4A4 | Radiation Hazard (Field-Tested)
Souvenir Dual Berettas | Contractor (Battle-Scarred)
Sawed-Off | Full Stop (Factory New)
Souvenir SG 553 | Waves Perforated (Battle-Scarred)
Dual Berettas | Duelist (Field-Tested)
MP7 | Anodized Navy (Factory New)
Sticker | Natus Vincere | MLG Columbus 2016
CZ75-Auto | Xiangliu (Factory New)
AK-47 | Safari Mesh (Field-Tested)
G3SG1 | Polar Camo (Minimal Wear)
★ Falchion Knife | Forest DDPAT (Well-Worn)
★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested)
StatTrak™ Nova | Hyper Beast (Field-Tested)
P90 | Asiimov (Field-Tested)
StatTrak™ UMP-45 | Scaffold (Field-Tested)
M4A4 | Howl (Minimal Wear)
M4A1-S | Decimator (Factory New)
StatTrak™ Desert Eagle | Directive (Minimal Wear)
Tec-9 | Red Quartz (Field-Tested)
MP7 | Olive Plaid (Well-Worn)
MAC-10 | Rangeen (Battle-Scarred)
Desert Eagle | Hand Cannon (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Freehand (Factory New)
★ StatTrak™ Gut Knife | Urban Masked (Field-Tested)
★ Karambit | Marble Fade (Factory New)
★ StatTrak™ Butterfly Knife | Crimson Web (Battle-Scarred)
PP-Bizon | Sand Dashed (Battle-Scarred)
PP-Bizon | Brass (Field-Tested)
FAMAS | Cyanospatter (Minimal Wear)
Tec-9 | Groundwater (Minimal Wear)
P250 | Sand Dune (Minimal Wear)
SCAR-20 | Sand Mesh (Field-Tested)
Desert Eagle | Urban Rubble (Factory New)
StatTrak™ Five-SeveN | Hyper Beast (Field-Tested)
StatTrak™ AK-47 | Point Disarray (Factory New)
AWP | Medusa (Battle-Scarred)
MAC-10 | Candy Apple (Minimal Wear)
FAMAS | Teardown (Field-Tested)
StatTrak™ MAG-7 | Heaven Guard (Field-Tested)
Five-SeveN | Forest Night (Battle-Scarred)
Tec-9 | VariCamo (Minimal Wear)
MAG-7 | Bulldozer (Factory New)
Sawed-Off | Amber Fade (Factory New)
P250 | Sand Dune (Field-Tested)
XM1014 | CaliCamo (Field-Tested)
XM1014 | CaliCamo (Factory New)
Dual Berettas | Moon in Libra (Battle-Scarred)
SCAR-20 | Contractor (Minimal Wear)
SCAR-20 | Carbon Fiber (Minimal Wear)
P90 | Teardown (Minimal Wear)
MP7 | Army Recon (Minimal Wear)
Dual Berettas | Duelist (Minimal Wear)
Nova | Moon in Libra (Battle-Scarred)
Nova | Sand Dune (Field-Tested)
Desert Eagle | Sunset Storm 弐 (Field-Tested)
Sticker | friberg | Cologne 2016
G3SG1 | Desert Storm (Minimal Wear)
Nova | Moon in Libra (Well-Worn)
P2000 | Granite Marbleized (Field-Tested)
Sawed-Off | Amber Fade (Field-Tested)
★ Flip Knife | Boreal Forest (Factory New)
""
★ Falchion Knife | Night (Minimal Wear)
★ StatTrak™ Gut Knife | Gamma Doppler (Factory New)
SCAR-20 | Carbon Fiber (Factory New)
Five-SeveN | Forest Night (Field-Tested)
SCAR-20 | Sand Mesh (Battle-Scarred)
Souvenir Five-SeveN | Silver Quartz (Minimal Wear)
Tec-9 | VariCamo (Field-Tested)
P250 | Sand Dune (Battle-Scarred)
MP9 | Orange Peel (Minimal Wear)
Sticker | Copenhagen Wolves (Holo) | Cologne 2014
Tec-9 | Terrace (Battle-Scarred)
Tec-9 | Terrace (Well-Worn)
StatTrak™ AK-47 | Wasteland Rebel (Battle-Scarred)
Galil AR | Sage Spray (Field-Tested)
Dual Berettas | Stained (Well-Worn)
SG 553 | Bulldozer (Field-Tested)
Nova | Polar Mesh (Battle-Scarred)
G3SG1 | VariCamo (Field-Tested)
★ StatTrak™ Bayonet | Damascus Steel (Battle-Scarred)
M4A1-S | Boreal Forest (Field-Tested)
FAMAS | Teardown (Factory New)
Five-SeveN | Nitro (Factory New)
Desert Eagle | Sunset Storm 壱 (Field-Tested)
MAC-10 | Palm (Minimal Wear)
XM1014 | Blue Steel (Battle-Scarred)
SG 553 | Waves Perforated (Battle-Scarred)
Dual Berettas | Colony (Battle-Scarred)
StatTrak™ M4A1-S | Mecha Industries (Field-Tested)
Dual Berettas | Colony (Field-Tested)
StatTrak™ Tec-9 | Isaac (Field-Tested)
MAC-10 | Candy Apple (Factory New)
G3SG1 | Jungle Dashed (Field-Tested)
★ StatTrak™ Butterfly Knife | Crimson Web (Minimal Wear)
StatTrak™ MAG-7 | Heaven Guard (Minimal Wear)
Dual Berettas | Stained (Minimal Wear)
Sawed-Off | Full Stop (Field-Tested)
Five-SeveN | Forest Night (Well-Worn)
Sticker | LGB eSports | Katowice 2015
M249 | Gator Mesh (Minimal Wear)
SCAR-20 | Sand Mesh (Minimal Wear)
MP9 | Orange Peel (Field-Tested)
StatTrak™ Tec-9 | Jambiya (Factory New)
StatTrak™ Tec-9 | Sandstorm (Battle-Scarred)
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)
AUG | Akihabara Accept (Field-Tested)
Sticker | friberg (Foil) | MLG Columbus 2016
AK-47 | Orbit Mk01 (Factory New)
Souvenir P250 | Boreal Forest (Well-Worn)
G3SG1 | Desert Storm (Battle-Scarred)
Dual Berettas | Stained (Battle-Scarred)
Dual Berettas | Duelist (Well-Worn)
M4A4 | Urban DDPAT (Field-Tested)
FAMAS | Teardown (Minimal Wear)
StatTrak™ USP-S | Kill Confirmed (Minimal Wear)
Galil AR | VariCamo (Factory New)
Dual Berettas | Contractor (Field-Tested)
Galil AR | Sage Spray (Minimal Wear)
P90 | Sand Spray (Minimal Wear)
P250 | Sand Dune (Well-Worn)
StatTrak™ P90 | Module (Factory New)
Nova | Predator (Field-Tested)
XM1014 | Blue Spruce (Field-Tested)
P90 | Teardown (Field-Tested)
SG 553 | Pulse (Field-Tested)
PP-Bizon | Night Ops (Field-Tested)
PP-Bizon | Urban Dashed (Minimal Wear)
USP-S | Night Ops (Battle-Scarred)
Sticker | Cloud9 (Holo) | MLG Columbus 2016
XM1014 | CaliCamo (Minimal Wear)
M4A1-S | Briefing (Factory New)
StatTrak™ Five-SeveN | Violent Daimyo (Well-Worn)
XM1014 | Blue Steel (Field-Tested)
Sticker | WorldEdit | MLG Columbus 2016
Cologne 2016 Legends (Holo-Foil)
AUG | Storm (Field-Tested)
""
StatTrak™ Five-SeveN | Retrobution (Battle-Scarred)
Souvenir AUG | Storm (Well-Worn)
AK-47 | Vulcan (Battle-Scarred)
AUG | Storm (Minimal Wear)
USP-S | Blueprint (Factory New)
M4A1-S | Briefing (Field-Tested)
Sticker | Luminosity Gaming | Cologne 2015
Tec-9 | Groundwater (Field-Tested)
Galil AR | Urban Rubble (Battle-Scarred)
StatTrak™ P250 | Steel Disruption (Factory New)
StatTrak™ Dual Berettas | Cobra Strike (Factory New)
Desert Eagle | Mudder (Minimal Wear)
PP-Bizon | Sand Dashed (Minimal Wear)
Tec-9 | VariCamo (Factory New)
MP9 | Sand Dashed (Minimal Wear)
Tec-9 | Army Mesh (Factory New)
Souvenir FAMAS | Cyanospatter (Field-Tested)
StatTrak™ Five-SeveN | Hyper Beast (Factory New)
PP-Bizon | Night Ops (Factory New)
MP9 | Rose Iron (Factory New)
P90 | Ash Wood (Field-Tested)
MAC-10 | Candy Apple (Field-Tested)
P90 | Ash Wood (Factory New)
M249 | Shipping Forecast (Battle-Scarred)
Tec-9 | Army Mesh (Minimal Wear)
Souvenir Dual Berettas | Briar (Factory New)
Five-SeveN | Orange Peel (Well-Worn)
FAMAS | Cyanospatter (Field-Tested)
M4A1-S | VariCamo (Battle-Scarred)
MP7 | Army Recon (Battle-Scarred)
★ StatTrak™ Butterfly Knife | Urban Masked (Minimal Wear)
Tec-9 | Groundwater (Battle-Scarred)
XM1014 | Blue Spruce (Battle-Scarred)
StatTrak™ P90 | Module (Minimal Wear)
FAMAS | Colony (Battle-Scarred)
StatTrak™ PP-Bizon | Fuel Rod (Well-Worn)
★ StatTrak™ Karambit | Tiger Tooth (Factory New)
★ StatTrak™ M9 Bayonet | Slaughter (Factory New)
SG 553 | Damascus Steel (Minimal Wear)
MP9 | Sand Dashed (Field-Tested)
G3SG1 | Jungle Dashed (Battle-Scarred)
MAG-7 | Counter Terrace (Field-Tested)
Nova | Predator (Minimal Wear)
Five-SeveN | Capillary (Battle-Scarred)
Sticker | Splyce | MLG Columbus 2016
StatTrak™ Negev | Loudmouth (Minimal Wear)
StatTrak™ AUG | Syd Mead (Field-Tested)
""
SCAR-20 | Sand Mesh (Well-Worn)
StatTrak™ P2000 | Pulse (Minimal Wear)
MP9 | Hot Rod (Factory New)
Souvenir P90 | Scorched (Minimal Wear)
MP7 | Special Delivery (Well-Worn)
Sticker | denis | Krakow 2017
G3SG1 | Desert Storm (Well-Worn)
StatTrak™ Galil AR | Crimson Tsunami (Field-Tested)
Souvenir XM1014 | Bone Machine (Well-Worn)
Sticker | mir | Krakow 2017
Sealed Graffiti | Astralis | Krakow 2017
P2000 | Granite Marbleized (Battle-Scarred)
Sealed Graffiti | Natus Vincere | Krakow 2017
Sticker | kNgV- (Foil) | Krakow 2017
Sticker | Magisk (Foil) | Krakow 2017
Souvenir Dual Berettas | Briar (Minimal Wear)
M4A1-S | Briefing (Minimal Wear)
Sticker | electronic (Foil) | Krakow 2017
StatTrak™ SSG 08 | Abyss (Minimal Wear)
Sticker | PGL (Foil) | Krakow 2017
Sealed Graffiti | mousesports | Krakow 2017
AUG | Storm (Well-Worn)
M4A4 | Urban DDPAT (Well-Worn)
USP-S | Night Ops (Field-Tested)
★ StatTrak™ Shadow Daggers | Stained (Field-Tested)
StatTrak™ Negev | Terrain (Factory New)
G3SG1 | Chronos (Factory New)
Five-SeveN | Neon Kimono (Well-Worn)
Sticker | fer (Foil) | Krakow 2017
Sticker | device (Foil) | Krakow 2017
Sticker | LEGIJA | Krakow 2017
Sticker | TACO (Foil) | Krakow 2017
""
Galil AR | Blue Titanium (Factory New)
Souvenir AK-47 | Safari Mesh (Field-Tested)
R8 Revolver | Amber Fade (Well-Worn)
Glock-18 | Water Elemental (Factory New)
PP-Bizon | Jungle Slipstream (Field-Tested)
StatTrak™ Sawed-Off | Serenity (Battle-Scarred)
StatTrak™ M4A1-S | Briefing (Minimal Wear)
AUG | Contractor (Well-Worn)
Sticker | chopper (Foil) | Krakow 2017
Sticker | dennis | Krakow 2017
Sticker | B1ad3 (Foil) | Krakow 2017
Sticker | HEN1 (Foil) | Krakow 2017
P2000 | Woodsman (Well-Worn)
Sticker | GuardiaN (Foil) | MLG Columbus 2016
Sticker | Vega Squadron (Holo) | Krakow 2017
Sticker | kRYSTAL | Krakow 2017
Sticker | NBK- | Krakow 2017
Sticker | Natus Vincere (Holo) | Krakow 2017
Sticker | boltz | Krakow 2017
Sticker | felps | Krakow 2017
Sticker | Immortals (Holo) | Krakow 2017
Sticker | oskar (Foil) | Krakow 2017
Sticker | gob b | Krakow 2017
Sticker | mir (Foil) | Krakow 2017
Sticker | Zeus (Foil) | Krakow 2017
Sticker | device | Krakow 2017
Sticker | LEGIJA (Foil) | Krakow 2017
Sticker | seized | Krakow 2017
Sticker | pashaBiceps (Foil) | Krakow 2017
Sticker | zehN (Foil) | Krakow 2017
Desert Eagle | Urban Rubble (Field-Tested)
Sticker | oskar | Krakow 2017
Sticker | BIG (Holo) | Krakow 2017
Sticker | nex (Foil) | Krakow 2017
★ StatTrak™ Bowie Knife | Night (Field-Tested)
MP7 | Akoben (Field-Tested)
Sticker | Snax (Foil) | Krakow 2017
StatTrak™ MAC-10 | Aloha (Well-Worn)
Sticker | kioShiMa | Krakow 2017
Sticker | n0thing (Foil) | Krakow 2017
Sticker | AdreN | Krakow 2017
Five-SeveN | Orange Peel (Field-Tested)
Galil AR | VariCamo (Field-Tested)
Sawed-Off | Snake Camo (Field-Tested)
Sticker | Cloud9 (Holo) | Krakow 2017
Sticker | tabseN | Krakow 2017
Tec-9 | Sandstorm (Minimal Wear)
Sticker | aizy (Foil) | Cluj-Napoca 2015
Sticker | jR | Krakow 2017
Sticker | flamie | Krakow 2017
Sticker | chrisJ | Krakow 2017
Sticker | hutji | Krakow 2017
PP-Bizon | Sand Dashed (Well-Worn)
Sticker | Edward (Foil) | Krakow 2017
Sticker | s1mple (Foil) | Krakow 2017
Sticker | gla1ve (Foil) | Krakow 2017
Sticker | TACO | Krakow 2017
Sticker | keev | Krakow 2017
Sticker | Xyp9x (Foil) | Krakow 2017
UMP-45 | Gunsmoke (Well-Worn)
Sticker | rain (Foil) | Krakow 2017
Galil AR | Sandstorm (Field-Tested)
PP-Bizon | Urban Dashed (Well-Worn)
Sticker | autimatic | Krakow 2017
Sticker | OpTic Gaming (Foil) | Cologne 2016
Five-SeveN | Silver Quartz (Field-Tested)
AUG | Chameleon (Minimal Wear)
Dual Berettas | Stained (Field-Tested)
Five-SeveN | Nitro (Well-Worn)
M4A4 | Desert-Strike (Field-Tested)
PP-Bizon | Jungle Slipstream (Factory New)
Galil AR | Aqua Terrace (Battle-Scarred)
Five-SeveN | Neon Kimono (Field-Tested)
Train Pin
CZ75-Auto | Crimson Web (Field-Tested)
Sticker | nex | Krakow 2017
Tec-9 | Army Mesh (Battle-Scarred)
Sticker | NiKo (Foil) | Krakow 2017
Sticker | kennyS | Krakow 2017
Sticker | LUCAS1 (Foil) | Krakow 2017
MP9 | Orange Peel (Battle-Scarred)
P250 | Sand Dune (Factory New)
AK-47 | Jaguar (Field-Tested)
Sticker | apEX (Foil) | Krakow 2017
UMP-45 | Gunsmoke (Battle-Scarred)
StatTrak™ MAG-7 | Hard Water (Well-Worn)
USP-S | Blueprint (Field-Tested)
Souvenir Five-SeveN | Contractor (Minimal Wear)
CZ75-Auto | Crimson Web (Minimal Wear)
CS:GO Weapon Case
Five-SeveN | Orange Peel (Minimal Wear)
G3SG1 | VariCamo (Factory New)
Sticker | NiKo | Krakow 2017
Sealed Graffiti | BIG | Krakow 2017
Sticker | NBK- (Foil) | Krakow 2017
Sticker | Hobbit | Krakow 2017
P250 | Ripple (Factory New)
Sticker | markeloff (Foil) | Krakow 2017
Sticker | kRYSTAL (Foil) | Krakow 2017
Sticker | NEO (Foil) | Krakow 2017
Sticker | Gambit (Holo) | Krakow 2017
Souvenir AUG | Colony (Minimal Wear)
Sticker | AdreN (Foil) | Krakow 2017
Sticker | coldzera | Krakow 2017
Sticker | Team LDLC.com | DreamHack 2014
Sticker | steel (Foil) | Krakow 2017
Sticker | innocent | Krakow 2017
Sticker | mou (Foil) | Krakow 2017
Sticker | denis (Foil) | Krakow 2017
StatTrak™ PP-Bizon | Photic Zone (Factory New)
Sticker | autimatic (Foil) | Krakow 2017
Sticker | chrisJ (Foil) | Krakow 2017
SCAR-20 | Contractor (Well-Worn)
AUG | Condemned (Field-Tested)
Galil AR | Urban Rubble (Well-Worn)
UMP-45 | Urban DDPAT (Well-Worn)
Dual Berettas | Contractor (Minimal Wear)
SG 553 | Atlas (Well-Worn)
AWP | Safari Mesh (Field-Tested)
Galil AR | Sage Spray (Battle-Scarred)
Sawed-Off | Full Stop (Minimal Wear)
AUG | Condemned (Minimal Wear)
SG 553 | Waves Perforated (Field-Tested)
UMP-45 | Urban DDPAT (Minimal Wear)
P250 | Boreal Forest (Field-Tested)
Nova | Polar Mesh (Minimal Wear)
Sealed Graffiti | G2 Esports | Krakow 2017
P250 | Boreal Forest (Minimal Wear)
Souvenir SG 553 | Fallout Warning (Field-Tested)
MP7 | Skulls (Minimal Wear)
P90 | Death Grip (Field-Tested)
StatTrak™ MAG-7 | Petroglyph (Field-Tested)
Sticker | FalleN (Foil) | MLG Columbus 2016
Sticker | KRIMZ (Foil) | Krakow 2017
Sticker | jR (Foil) | Krakow 2017
Sticker | Hobbit (Foil) | Krakow 2017
Sticker | loWel (Foil) | Krakow 2017
Sticker | G2 Esports (Holo) | Krakow 2017
Souvenir MAG-7 | Sand Dune (Field-Tested)
StatTrak™ UMP-45 | Primal Saber (Minimal Wear)
StatTrak™ Tec-9 | Ice Cap (Battle-Scarred)
Souvenir P250 | Bone Mask (Minimal Wear)
Souvenir MAG-7 | Irradiated Alert (Field-Tested)
Five-SeveN | Kami (Minimal Wear)
StatTrak™ SG 553 | Aerial (Well-Worn)
Galil AR | Sage Spray (Well-Worn)
StatTrak™ SG 553 | Tiger Moth (Factory New)
Sticker | allu (Foil) | Krakow 2017
Sticker | keshandr | Krakow 2017
Sticker | North (Holo) | Krakow 2017
Sticker | keev (Foil) | Krakow 2017
Sealed Graffiti | Immortals | Krakow 2017
Sticker | MSL (Foil) | Krakow 2017
Sticker | wayLander | Krakow 2017
Sticker | Skadoodle (Foil) | Krakow 2017
Sticker | steel | Krakow 2017
Sticker | FaZe Clan (Holo) | Krakow 2017
Sticker | coldzera (Foil) | Krakow 2017
Sticker | wayLander (Foil) | Krakow 2017
Desert Eagle | Oxide Blaze (Battle-Scarred)
Sticker | MLG (Holo) | MLG Columbus 2016
StatTrak™ M4A1-S | Bright Water (Minimal Wear)
P250 | Franklin (Factory New)
Sticker | Fnatic | Cluj-Napoca 2015
Sticker | kennyS (Foil) | Krakow 2017
StatTrak™ SSG 08 | Slashed (Well-Worn)
Glove Case Key
Sticker | allu | Krakow 2017
Sticker | Counter Logic Gaming | Cologne 2015
Nova | Predator (Well-Worn)
Sticker | aizy | Krakow 2017
Sticker | Dosia | Krakow 2017
Negev | Terrain (Factory New)
StatTrak™ FAMAS | Roll Cage (Factory New)
Sticker | Fnatic (Holo) | DreamHack 2014
Sawed-Off | Zander (Minimal Wear)
Sticker | keshandr (Foil) | Krakow 2017
Sticker | gla1ve | Krakow 2017
M4A4 | Royal Paladin (Factory New)
P250 | Ripple (Field-Tested)
Souvenir SSG 08 | Blue Spruce (Well-Worn)
★ StatTrak™ Karambit | Black Laminate (Battle-Scarred)
Sawed-Off | Zander (Battle-Scarred)
Glock-18 | Brass (Field-Tested)
Dual Berettas | Anodized Navy (Factory New)
MP7 | Akoben (Factory New)
Sticker | rain | Krakow 2017
FAMAS | Cyanospatter (Well-Worn)
Sticker | k0nfig | Krakow 2017
MAG-7 | Heaven Guard (Minimal Wear)
AUG | Akihabara Accept (Well-Worn)
P250 | Boreal Forest (Battle-Scarred)
Sticker | WorldEdit | Krakow 2017
M4A4 | Hellfire (Factory New)
Dual Berettas | Colony (Well-Worn)
USP-S | Blueprint (Battle-Scarred)
MAG-7 | Heaven Guard (Factory New)
Dual Berettas | Colony (Minimal Wear)
P250 | Metallic DDPAT (Factory New)
StatTrak™ USP-S | Blood Tiger (Minimal Wear)
P250 | Metallic DDPAT (Minimal Wear)
Sticker | flusha | Krakow 2017
USP-S | Forest Leaves (Minimal Wear)
StatTrak™ USP-S | Blueprint (Minimal Wear)
MAG-7 | Counter Terrace (Battle-Scarred)
Dual Berettas | Cobra Strike (Field-Tested)
USP-S | Forest Leaves (Field-Tested)
G3SG1 | Polar Camo (Well-Worn)
Sawed-Off | Zander (Well-Worn)
PP-Bizon | Brass (Well-Worn)
AUG | Condemned (Well-Worn)
FAMAS | Cyanospatter (Battle-Scarred)
Operation Bravo Case
Sticker | FalleN (Foil) | Krakow 2017
Sticker | SK Gaming (Holo) | Krakow 2017
Sticker | olofmeister (Foil) | Krakow 2017
Sticker | karrigan (Foil) | Krakow 2017
Sticker | dennis (Foil) | Krakow 2017
Sticker | Virtus.Pro (Holo) | Krakow 2017
Sticker | Kjaerbye | Krakow 2017
Sticker | Flipsid3 Tactics (Holo) | Krakow 2017
Nova | Candy Apple (Field-Tested)
Sticker | tabseN (Foil) | Krakow 2017
Sticker | cajunb | Krakow 2017
Sticker | karrigan | Krakow 2017
Sticker | JW | Krakow 2017
Sticker | bodyy | Krakow 2017
Souvenir SCAR-20 | Storm (Field-Tested)
MP9 | Sand Dashed (Well-Worn)
AWP | Pink DDPAT (Field-Tested)
Tec-9 | Groundwater (Well-Worn)
UMP-45 | Primal Saber (Well-Worn)
Sticker | B1ad3 | Krakow 2017
StatTrak™ UMP-45 | Metal Flowers (Field-Tested)
USP-S | Caiman (Minimal Wear)
Souvenir UMP-45 | Gunsmoke (Field-Tested)
StatTrak™ M4A1-S | Golden Coil (Factory New)
M249 | Gator Mesh (Field-Tested)
Nova | Sand Dune (Minimal Wear)
★ StatTrak™ Shadow Daggers | Crimson Web (Well-Worn)
P250 | Boreal Forest (Well-Worn)
StatTrak™ AUG | Ricochet (Well-Worn)
★ Shadow Daggers | Case Hardened (Field-Tested)
PP-Bizon | Jungle Slipstream (Minimal Wear)
Sticker | SmithZz (Foil) | Cluj-Napoca 2015
Sticker | Vox Eminor (Holo) | Cologne 2014
StatTrak™ Tec-9 | Cut Out (Field-Tested)
Souvenir Nova | Walnut (Field-Tested)
M4A4 | Hellfire (Minimal Wear)
★ StatTrak™ Falchion Knife | Fade (Factory New)
★ StatTrak™ Falchion Knife | Boreal Forest (Battle-Scarred)
Nova | Sand Dune (Well-Worn)
AUG | Condemned (Battle-Scarred)
SCAR-20 | Blueprint (Battle-Scarred)
Gamma Case
Sticker | Epsilon eSports (Holo) | Cologne 2014
SSG 08 | Blue Spruce (Field-Tested)
★ Shadow Daggers | Blue Steel (Well-Worn)
AWP | Corticera (Field-Tested)
Souvenir P90 | Storm (Factory New)
StatTrak™ Five-SeveN | Capillary (Battle-Scarred)
StatTrak™ AK-47 | Orbit Mk01 (Field-Tested)
StatTrak™ UMP-45 | Labyrinth (Factory New)
USP-S | Forest Leaves (Well-Worn)
StatTrak™ CZ75-Auto | Crimson Web (Field-Tested)
★ StatTrak™ M9 Bayonet | Scorched (Minimal Wear)
UMP-45 | Gunsmoke (Field-Tested)
MP9 | Dart (Battle-Scarred)
P90 | Sand Spray (Well-Worn)
Sawed-Off | Snake Camo (Minimal Wear)
